t	x1	y1	x2	y2
---------------------------------------
0	1	-0.0003	1.7072	0.7067
0.01	1	-0.0018	1.7072	0.7052
0.02	1	-0.0042	1.7072	0.7028
0.03	1	-0.0076	1.7072	0.6993
0.04	0.9999	-0.012	1.7072	0.6949
0.05	0.9998	-0.0174	1.7072	0.6895
0.06	0.9997	-0.0237	1.7072	0.6831
0.07	0.9995	-0.031	1.7071	0.6756
0.08	0.9992	-0.0392	1.707	0.6672
0.09	0.9988	-0.0484	1.7069	0.6578
0.1	0.9983	-0.0584	1.7067	0.6473
0.11	0.9976	-0.0694	1.7065	0.6358
0.12	0.9967	-0.0813	1.7063	0.6233
0.13	0.9956	-0.094	1.706	0.6098
0.14	0.9942	-0.1076	1.7056	0.5952
0.15	0.9925	-0.1221	1.7051	0.5795
0.16	0.9905	-0.1373	1.7046	0.5628
0.17	0.9882	-0.1534	1.7039	0.545
0.18	0.9854	-0.1702	1.7032	0.5261
0.19	0.9822	-0.1877	1.7024	0.5061
0.2	0.9786	-0.206	1.7014	0.4851
0.21	0.9744	-0.2249	1.7003	0.4629
0.22	0.9697	-0.2445	1.6991	0.4396
0.23	0.9643	-0.2646	1.6977	0.4152
0.24	0.9584	-0.2854	1.6961	0.3897
0.25	0.9518	-0.3066	1.6945	0.3631
0.26	0.9445	-0.3284	1.6926	0.3353
0.27	0.9365	-0.3505	1.6905	0.3063
0.28	0.9278	-0.3731	1.6883	0.2763
0.29	0.9183	-0.396	1.6858	0.245
0.3	0.9079	-0.4191	1.6832	0.2126
0.31	0.8968	-0.4424	1.6803	0.1791
0.32	0.8848	-0.4659	1.6771	0.1443
0.33	0.872	-0.4894	1.6737	0.1084
0.34	0.8584	-0.513	1.67	0.0712
0.35	0.8439	-0.5365	1.6659	0.0329
0.36	0.8286	-0.5599	1.6616	-0.0066
0.37	0.8124	-0.583	1.6569	-0.0474
0.38	0.7955	-0.6059	1.6518	-0.0894
0.39	0.7779	-0.6284	1.6463	-0.1326
0.4	0.7595	-0.6505	1.6403	-0.1771
0.41	0.7404	-0.6721	1.6338	-0.2228
0.42	0.7208	-0.6931	1.6268	-0.2698
0.43	0.7007	-0.7135	1.6192	-0.318
0.44	0.6801	-0.7331	1.6109	-0.3675
0.45	0.6592	-0.7519	1.6019	-0.4183
0.46	0.6381	-0.7699	1.5922	-0.4703
0.47	0.6169	-0.7871	1.5815	-0.5235
0.48	0.5957	-0.8032	1.57	-0.578
0.49	0.5746	-0.8185	1.5574	-0.6338
0.5	0.5538	-0.8327	1.5437	-0.6907
0.51	0.5335	-0.8458	1.5287	-0.7487
0.52	0.5137	-0.858	1.5125	-0.8079
0.53	0.4948	-0.869	1.4948	-0.8681
0.54	0.4768	-0.879	1.4755	-0.9293
0.55	0.4598	-0.888	1.4545	-0.9914
0.56	0.4442	-0.8959	1.4316	-1.0543
0.57	0.4301	-0.9028	1.4067	-1.1179
0.58	0.4177	-0.9086	1.3796	-1.1819
0.59	0.4071	-0.9134	1.3501	-1.2462
0.6	0.3986	-0.9171	1.3179	-1.3106
0.61	0.3923	-0.9198	1.2829	-1.3747
0.62	0.3885	-0.9214	1.2447	-1.4381
0.63	0.3873	-0.922	1.203	-1.5005
0.64	0.3887	-0.9214	1.1574	-1.561
0.65	0.3929	-0.9196	1.1076	-1.619
0.66	0.3997	-0.9166	1.0533	-1.6735
0.67	0.4088	-0.9126	0.9941	-1.7234
0.68	0.4195	-0.9078	0.9301	-1.7676
0.69	0.4308	-0.9024	0.8615	-1.8049
0.7	0.4417	-0.8972	0.7889	-1.8349
0.71	0.4511	-0.8925	0.7132	-1.8575
0.72	0.4581	-0.8889	0.6353	-1.8731
0.73	0.4621	-0.8868	0.5561	-1.8824
0.74	0.4629	-0.8864	0.4763	-1.8863
0.75	0.4603	-0.8878	0.3964	-1.8857
0.76	0.4544	-0.8908	0.3168	-1.8813
0.77	0.4452	-0.8954	0.2378	-1.8737
0.78	0.4329	-0.9015	0.1595	-1.8634
0.79	0.4173	-0.9087	0.0821	-1.8509
0.8	0.3988	-0.917	0.0058	-1.8366
0.81	0.3773	-0.9261	-0.0696	-1.8207
0.82	0.3529	-0.9357	-0.1438	-1.8036
0.83	0.3257	-0.9455	-0.2168	-1.7855
0.84	0.2958	-0.9552	-0.2887	-1.7666
0.85	0.2633	-0.9647	-0.3595	-1.7471
0.86	0.2283	-0.9736	-0.4291	-1.7271
0.87	0.191	-0.9816	-0.4976	-1.7068
0.88	0.1514	-0.9885	-0.5649	-1.6863
0.89	0.1098	-0.994	-0.6311	-1.6656
0.9	0.0662	-0.9978	-0.6962	-1.6449
0.91	0.0208	-0.9998	-0.7602	-1.6243
0.92	-0.0261	-0.9997	-0.823	-1.6037
0.93	-0.0744	-0.9972	-0.8847	-1.5833
0.94	-0.124	-0.9923	-0.9452	-1.5629
0.95	-0.1747	-0.9846	-1.0045	-1.5427
0.96	-0.2262	-0.9741	-1.0624	-1.5225
0.97	-0.2785	-0.9605	-1.1189	-1.5024
0.98	-0.3312	-0.9436	-1.1737	-1.4822
0.99	-0.3842	-0.9232	-1.2268	-1.4619
1	-0.4373	-0.8993	-1.2778	-1.4412
1.01	-0.4903	-0.8716	-1.3265	-1.42
1.02	-0.5427	-0.8399	-1.3725	-1.398
1.03	-0.5942	-0.8043	-1.4154	-1.375
1.04	-0.6443	-0.7648	-1.4549	-1.3504
1.05	-0.6924	-0.7215	-1.4904	-1.3241
1.06	-0.738	-0.6749	-1.5219	-1.2957
1.07	-0.7802	-0.6255	-1.5491	-1.2648
1.08	-0.8186	-0.5743	-1.5723	-1.2316
1.09	-0.8529	-0.522	-1.5916	-1.196
1.1	-0.883	-0.4694	-1.6077	-1.1584
1.11	-0.9089	-0.4171	-1.6209	-1.1192
1.12	-0.9308	-0.3655	-1.6319	-1.0786
1.13	-0.9491	-0.3151	-1.6409	-1.0371
1.14	-0.964	-0.266	-1.6485	-0.995
1.15	-0.9759	-0.2183	-1.6547	-0.9525
1.16	-0.9851	-0.1721	-1.66	-0.91
1.17	-0.9918	-0.1275	-1.6645	-0.8675
1.18	-0.9964	-0.0845	-1.6682	-0.8252
1.19	-0.9991	-0.0431	-1.6714	-0.7833
1.2	-1	-0.0032	-1.6741	-0.7419
1.21	-0.9994	0.035	-1.6764	-0.7009
1.22	-0.9974	0.0718	-1.6784	-0.6606
1.23	-0.9943	0.1069	-1.68	-0.6209
1.24	-0.9901	0.1406	-1.6814	-0.5819
1.25	-0.985	0.1728	-1.6825	-0.5437
1.26	-0.9791	0.2036	-1.6834	-0.5062
1.27	-0.9725	0.2329	-1.6842	-0.4696
1.28	-0.9654	0.2609	-1.6848	-0.4337
1.29	-0.9578	0.2875	-1.6852	-0.3987
1.3	-0.9498	0.3128	-1.6855	-0.3645
1.31	-0.9416	0.3368	-1.6857	-0.3312
1.32	-0.9331	0.3596	-1.6858	-0.2988
1.33	-0.9245	0.3811	-1.6858	-0.2673
1.34	-0.9158	0.4016	-1.6857	-0.2367
1.35	-0.9071	0.4208	-1.6855	-0.207
1.36	-0.8985	0.439	-1.6852	-0.1782
1.37	-0.8899	0.4562	-1.6849	-0.1504
1.38	-0.8814	0.4723	-1.6845	-0.1235
1.39	-0.8731	0.4875	-1.6841	-0.0976
1.4	-0.865	0.5018	-1.6836	-0.0726
1.41	-0.8571	0.5151	-1.6831	-0.0485
1.42	-0.8495	0.5276	-1.6826	-0.0255
1.43	-0.8421	0.5393	-1.6821	-0.0034
1.44	-0.8351	0.5501	-1.6816	0.0177
1.45	-0.8284	0.5602	-1.6811	0.0379
1.46	-0.8219	0.5696	-1.6806	0.057
1.47	-0.8159	0.5782	-1.6801	0.0752
1.48	-0.8102	0.5862	-1.6797	0.0923
1.49	-0.8048	0.5935	-1.6793	0.1084
1.5	-0.7998	0.6002	-1.6789	0.1236
1.51	-0.7952	0.6063	-1.6786	0.1377
1.52	-0.791	0.6118	-1.6784	0.1508
