t	x	y
-----------------------
0	1	0.999994
0.001	1	0.999979
0.002	1	0.999955
0.003	1	0.99992
0.004	1	0.999876
0.005	1	0.999822
0.006	1	0.999758
0.007	1	0.999685
0.008	1	0.999601
0.009	1	0.999508
0.01	1	0.999405
0.011	1	0.999292
0.012	1	0.99917
0.013	1	0.999037
0.014	1	0.998895
0.015	1	0.998743
0.016	1	0.998581
0.017	1	0.998409
0.018	1	0.998228
0.019	1	0.998037
0.02	1	0.997836
0.021	1	0.997625
0.022	1	0.997404
0.023	1	0.997173
0.024	1	0.996933
0.025	1	0.996683
0.026	0.999999	0.996423
0.027	0.999999	0.996153
0.028	0.999998	0.995874
0.029	0.999998	0.995584
0.03	0.999997	0.995285
0.031	0.999996	0.994976
0.032	0.999996	0.994657
0.033	0.999995	0.994329
0.034	0.999994	0.99399
0.035	0.999993	0.993642
0.036	0.999991	0.993284
0.037	0.99999	0.992916
0.038	0.999989	0.992538
0.039	0.999987	0.992151
0.04	0.999986	0.991753
0.041	0.999984	0.991346
0.042	0.999982	0.990929
0.043	0.99998	0.990503
0.044	0.999978	0.990066
0.045	0.999976	0.98962
0.046	0.999973	0.989164
0.047	0.999971	0.988698
0.048	0.999968	0.988222
0.049	0.999965	0.987736
0.05	0.999962	0.987241
0.051	0.999959	0.986736
0.052	0.999955	0.986221
0.053	0.999952	0.985696
0.054	0.999948	0.985161
0.055	0.999944	0.984617
0.056	0.999939	0.984063
0.057	0.999935	0.983499
0.058	0.99993	0.982925
0.059	0.999925	0.982341
0.06	0.999919	0.981748
0.061	0.999914	0.981145
0.062	0.999908	0.980531
0.063	0.999902	0.979909
0.064	0.999895	0.979276
0.065	0.999889	0.978633
0.066	0.999882	0.977981
0.067	0.999874	0.977319
0.068	0.999866	0.976647
0.069	0.999858	0.975966
0.07	0.99985	0.975274
0.071	0.999841	0.974573
0.072	0.999832	0.973862
0.073	0.999822	0.973141
0.074	0.999813	0.97241
0.075	0.999802	0.97167
0.076	0.999791	0.970919
0.077	0.99978	0.970159
0.078	0.999769	0.969389
0.079	0.999757	0.96861
0.08	0.999744	0.96782
0.081	0.999731	0.967021
0.082	0.999718	0.966212
0.083	0.999704	0.965393
0.084	0.999689	0.964564
0.085	0.999674	0.963726
0.086	0.999658	0.962878
0.087	0.999642	0.96202
0.088	0.999626	0.961152
0.089	0.999609	0.960274
0.09	0.999591	0.959387
0.091	0.999572	0.95849
0.092	0.999553	0.957583
0.093	0.999534	0.956666
0.094	0.999513	0.95574
0.095	0.999493	0.954803
0.096	0.999471	0.953857
0.097	0.999449	0.952901
0.098	0.999426	0.951936
0.099	0.999402	0.95096
0.1	0.999378	0.949975
0.101	0.999353	0.94898
0.102	0.999327	0.947976
0.103	0.9993	0.946961
0.104	0.999273	0.945937
0.105	0.999245	0.944903
0.106	0.999216	0.943859
0.107	0.999186	0.942805
0.108	0.999155	0.941742
0.109	0.999124	0.940669
0.11	0.999091	0.939586
0.111	0.999058	0.938494
0.112	0.999024	0.937391
0.113	0.998989	0.936279
0.114	0.998953	0.935157
0.115	0.998916	0.934026
0.116	0.998878	0.932884
0.117	0.998839	0.931733
0.118	0.998799	0.930572
0.119	0.998758	0.929402
0.12	0.998716	0.928222
0.121	0.998673	0.927031
0.122	0.998629	0.925832
0.123	0.998584	0.924622
0.124	0.998538	0.923403
0.125	0.99849	0.922174
0.126	0.998442	0.920935
0.127	0.998392	0.919687
0.128	0.998341	0.918429
0.129	0.998289	0.917161
0.13	0.998236	0.915883
0.131	0.998181	0.914596
0.132	0.998126	0.913299
0.133	0.998068	0.911993
0.134	0.99801	0.910676
0.135	0.997951	0.90935
0.136	0.99789	0.908015
0.137	0.997827	0.906669
0.138	0.997764	0.905314
0.139	0.997699	0.903949
0.14	0.997632	0.902575
0.141	0.997564	0.901191
0.142	0.997495	0.899797
0.143	0.997424	0.898394
0.144	0.997352	0.89698
0.145	0.997278	0.895558
0.146	0.997203	0.894125
0.147	0.997126	0.892683
0.148	0.997047	0.891232
0.149	0.996967	0.88977
0.15	0.996886	0.888299
0.151	0.996803	0.886819
0.152	0.996718	0.885329
0.153	0.996631	0.883829
0.154	0.996543	0.882319
0.155	0.996453	0.8808
0.156	0.996361	0.879272
0.157	0.996267	0.877733
0.158	0.996172	0.876186
0.159	0.996075	0.874628
0.16	0.995976	0.873061
0.161	0.995875	0.871485
0.162	0.995772	0.869899
0.163	0.995668	0.868303
0.164	0.995561	0.866698
0.165	0.995453	0.865083
0.166	0.995342	0.863458
0.167	0.99523	0.861825
0.168	0.995115	0.860181
0.169	0.994999	0.858528
0.17	0.99488	0.856866
0.171	0.99476	0.855194
0.172	0.994637	0.853513
0.173	0.994512	0.851822
0.174	0.994385	0.850121
0.175	0.994256	0.848411
0.176	0.994124	0.846692
0.177	0.99399	0.844963
0.178	0.993854	0.843225
0.179	0.993716	0.841477
0.18	0.993575	0.83972
0.181	0.993433	0.837953
0.182	0.993287	0.836177
0.183	0.99314	0.834392
0.184	0.992989	0.832597
0.185	0.992837	0.830793
0.186	0.992682	0.828979
0.187	0.992524	0.827156
0.188	0.992364	0.825324
0.189	0.992202	0.823482
0.19	0.992036	0.821631
0.191	0.991869	0.819771
0.192	0.991698	0.817901
0.193	0.991525	0.816022
0.194	0.991349	0.814134
0.195	0.991171	0.812236
0.196	0.990989	0.810329
0.197	0.990805	0.808413
0.198	0.990619	0.806487
0.199	0.990429	0.804553
0.2	0.990237	0.802609
0.201	0.990041	0.800656
0.202	0.989843	0.798693
0.203	0.989642	0.796722
0.204	0.989438	0.794741
0.205	0.98923	0.792751
0.206	0.98902	0.790752
0.207	0.988807	0.788743
0.208	0.988591	0.786726
0.209	0.988371	0.784699
0.21	0.988148	0.782663
0.211	0.987923	0.780619
0.212	0.987694	0.778565
0.213	0.987462	0.776502
0.214	0.987226	0.77443
0.215	0.986987	0.772349
0.216	0.986745	0.770259
0.217	0.9865	0.768159
0.218	0.986251	0.766051
0.219	0.985999	0.763934
0.22	0.985743	0.761808
0.221	0.985484	0.759673
0.222	0.985221	0.757529
0.223	0.984955	0.755376
0.224	0.984685	0.753214
0.225	0.984412	0.751043
0.226	0.984135	0.748864
0.227	0.983854	0.746675
0.228	0.98357	0.744478
0.229	0.983282	0.742272
0.23	0.98299	0.740057
0.231	0.982694	0.737833
0.232	0.982395	0.735601
0.233	0.982092	0.733359
0.234	0.981785	0.731109
0.235	0.981473	0.728851
0.236	0.981158	0.726583
0.237	0.980839	0.724307
0.238	0.980516	0.722022
0.239	0.980189	0.719729
0.24	0.979858	0.717427
0.241	0.979523	0.715116
0.242	0.979183	0.712797
0.243	0.978839	0.710469
0.244	0.978492	0.708133
0.245	0.978139	0.705788
0.246	0.977783	0.703435
0.247	0.977422	0.701073
0.248	0.977057	0.698703
0.249	0.976688	0.696324
0.25	0.976314	0.693937
0.251	0.975936	0.691542
0.252	0.975553	0.689138
0.253	0.975165	0.686726
0.254	0.974773	0.684306
0.255	0.974377	0.681877
0.256	0.973976	0.67944
0.257	0.97357	0.676995
0.258	0.973159	0.674541
0.259	0.972744	0.67208
0.26	0.972324	0.66961
0.261	0.971899	0.667132
0.262	0.97147	0.664646
0.263	0.971035	0.662152
0.264	0.970596	0.65965
0.265	0.970151	0.65714
0.266	0.969702	0.654622
0.267	0.969247	0.652096
0.268	0.968788	0.649562
0.269	0.968323	0.64702
0.27	0.967854	0.64447
0.271	0.967379	0.641913
0.272	0.966899	0.639347
0.273	0.966414	0.636774
0.274	0.965923	0.634193
0.275	0.965427	0.631604
0.276	0.964926	0.629008
0.277	0.964419	0.626404
0.278	0.963908	0.623792
0.279	0.96339	0.621173
0.28	0.962867	0.618546
0.281	0.962339	0.615911
0.282	0.961805	0.613269
0.283	0.961265	0.61062
0.284	0.96072	0.607963
0.285	0.960169	0.605299
0.286	0.959612	0.602627
0.287	0.95905	0.599948
0.288	0.958481	0.597262
0.289	0.957907	0.594569
0.29	0.957328	0.591868
0.291	0.956742	0.58916
0.292	0.95615	0.586445
0.293	0.955552	0.583723
0.294	0.954949	0.580994
0.295	0.954339	0.578258
0.296	0.953723	0.575514
0.297	0.953101	0.572764
0.298	0.952473	0.570007
0.299	0.951839	0.567243
0.3	0.951198	0.564473
0.301	0.950551	0.561695
0.302	0.949898	0.558911
0.303	0.949239	0.55612
0.304	0.948573	0.553322
0.305	0.947901	0.550518
0.306	0.947222	0.547707
0.307	0.946537	0.54489
0.308	0.945845	0.542066
0.309	0.945146	0.539236
0.31	0.944441	0.536399
0.311	0.94373	0.533556
0.312	0.943011	0.530707
0.313	0.942286	0.527851
0.314	0.941555	0.524989
0.315	0.940816	0.522121
0.316	0.940071	0.519247
0.317	0.939318	0.516367
